customer,customer_country,fraud_flag,timestamp,counterparty,counterparty_country,type,ccy,amount
C12976926337644,UK,N,3/20/21 5:59,7.76974E+13,CN,OTHER,JPY,48625.25
C12976926337644,UK,N,5/2/21 3:00,7.76974E+13,CN,PAYMENT,GBP,20637.21
C12976926337644,UK,N,5/23/21 22:15,7.76974E+13,,PAYMENT,USD,56691.27
C12976926337644,UK,N,7/7/21 21:36,7.76974E+13,,PAYMENT,CNY,343864.71
C12976926337644,UK,N,9/2/21 0:14,7.76974E+13,,PAYMENT,USD,57247.35
C12976926337644,UK,N,12/1/21 20:13,7.76974E+13,,PAYMENT,CNY,342427.79
C12976926337644,UK,N,3/12/21 1:13,7.76974E+13,CN,TT,GBP,36944.25
C12976926337644,UK,N,6/9/21 18:06,7.76974E+13,CN,TT,CNY,48653.7
C12976926337644,UK,N,8/14/21 14:03,7.76974E+13,CN,TT,CNY,48765.81
C12976926337644,UK,N,9/26/21 20:46,7.76974E+13,CN,TT,BRL,76191.61
C12976926337644,UK,N,12/6/21 2:34,7.76974E+13,CN,TT,USD,76380.64
C12976926337644,UK,N,4/3/21 21:44,2.67984E+13,DE,BILLING,GBP,36763.31
C12976926337644,UK,N,11/13/21 20:49,2.67984E+13,DE,BILLING,EUR,47346.51
C12976926337644,UK,N,11/6/21 18:47,2.67984E+13,DE,DIVIDEND,GBP,42046.8
C12976926337644,UK,N,6/10/21 12:48,1.59924E+13,FR,BILLING,INR,55554.43
C12976926337644,UK,N,1/30/21 15:52,1.59924E+13,FR,TRANSFER,GBP,34057.79
C12976926337644,UK,N,8/7/21 15:06,1.59924E+13,FR,TT,EUR,55242.43
C12976926337644,UK,N,7/28/21 23:53,6.81475E+13,UK,TRANSFER,GBP,49620.13
C12976926337644,UK,N,9/1/21 17:40,6.81475E+13,,TRANSFER,HKD,346606.86
C12976926337644,UK,N,9/10/21 1:14,6.81475E+13,UK,TRANSFER,HKD,346016.46
C12976926337644,UK,N,10/21/21 0:02,6.81475E+13,,TRANSFER,HKD,347474.61
C12976926337644,UK,N,5/11/21 20:57,6.81475E+13,UK,TT,GBP,27010.18
C12976926337644,UK,N,6/19/21 10:52,6.81475E+13,UK,TT,GBP,26970.08
C12976926337644,UK,N,6/27/21 13:01,6.81475E+13,UK,TT,GBP,27013.86
